candidate_rank,pkg_name,download_count
250,perl-bio-tools-run-alignment-clustalw,111125
251,perl-bio-tools-run-alignment-tcoffee,110900
252,pyrodigal,110835
253,perl-business-isbn-data,109978
254,perl-business-isbn,109824
255,perl-http-cookiejar-lwp,108456
256,trimmomatic,107656
257,perl-mime-base64,107397
258,subread,107376
259,trim-galore,106639
260,famsa,106343
261,bioconductor-genomicfeatures,105849
262,bioconductor-treeio,105842
263,rnastructure,105295
264,tmalign,105288
265,perl-gd,105058
266,minvar,104419
267,vt,102859
268,perl-test-fatal,102346
269,bioconductor-diffbind,102213
270,poa,101473
271,perl-compress-raw-zlib,100200
272,mash,100179
273,perl-try-tiny,99849
274,ucsc-cell-browser,99680
275,perl-compress-raw-bzip2,99347
276,perl-file-slurper,99260
277,bioconductor-biomart,98954
278,bioconductor-singlecellexperiment,97092
279,rscape,97010
280,vcfpy,96779
281,ucsc-nibfrag,96388
282,perl-bio-searchio-hmmer,95783
283,vsearch,95458
284,umi_tools,95132
285,hisat2,94878
286,lastz,93913
287,metamdbg,93291
288,art,92907
289,perl-base,92237
290,pyliftover,92082
291,phylip,91366
292,bioconductor-mspurity,89291
293,msisensor-pro,89263
294,bioconductor-go.db,88840
295,perl-module-metadata,88307
296,perl-params-validate,88153
297,snakemake-storage-plugin-http,88056
298,probcons,87903
299,bioconductor-sparsematrixstats,87649
300,illumina-interop,87566
301,mustang,87142
302,bioconductor-beachmat,86739
303,mztosqlite,86237
304,r-listenv,86147
305,r-future,86000
306,r-globals,85978
307,dialign-tx,85955
308,consan,85882
309,probconsrna,85622
310,sap,85470
311,bioconductor-dnacopy,84350
312,perl-capture-tiny,83163
313,bioconductor-delayedmatrixstats,82999
314,pbtk,82440
315,perl-xml-simple,82023
316,bioconductor-shortread,81861
317,bioconductor-qvalue,81238
318,bioconductor-annotate,80872
319,ucsc-twobitinfo,80129
320,perl-devel-stacktrace,78410
321,lambda,78339
322,mothur,77717
323,perl-dbi,77427
324,pyfastx,77368
325,perl-parallel-forkmanager,77104
326,perl-module-runtime,76033
327,minced,75913
328,mitos,75614
329,bioconductor-biocsingular,75259
330,plink,74908
331,alfred,74527
332,proda,74391
333,bioconda-repodata-patches,73307
334,kraken2,73176
335,parasail-python,73059
336,perl-module-implementation,72809
337,bioconductor-bsgenome,72804
338,perl-clone,72547
339,r-ggally,71865
340,bioconductor-scaledmatrix,71620
341,mentalist,71461
342,bioconductor-ggtree,71446
343,perl-digest-perl-md5,71178
344,bioconductor-biocneighbors,71099
345,snakemake-executor-plugin-slurm,70898
346,bioconductor-multtest,70443
347,rnashapes,70349
348,rnftools,70188
349,gffread,70043
350,gffutils,69943
351,perl-config-general,69742
352,bioconductor-scuttle,69721
353,cdbtools,69518
354,intarna,69434
355,pneumo-typer,69192
356,locarna,69044
357,perl-dbd-sqlite,68772
358,perl-test-harness,68679
359,cd-hit,67592
360,perl-font-ttf,67457
361,tabix,66925
362,aragorn,66106
363,ensembl-vep,65779
364,perl-threaded,65569
365,snpsift,65428
366,plink2,65209
367,qualimap,64872
368,perl-xsloader,64815
369,ncls,64240
370,perl-sub-exporter-progressive,63875
371,bioconductor-fgsea,63625
372,snakemake-executor-plugin-slurm-jobstep,63497
373,perl-devel-globaldestruction,62919
374,bioconductor-seqinfo,62903
375,perl-role-tiny,62378
376,perl-moo,62318
377,bioconductor-org.ce.eg.db,62284
378,n50,61909
379,perl-storable,61869
380,bioconductor-phyloseq,61652
381,perl-class-method-modifiers,61556
382,treetime,61430
383,perl-perlio-gzip,61203
384,vcflib,60638
385,perl-sub-install,60350
386,perl-module-corelist,60296
387,bioconductor-biomformat,60213
388,clonalframeml,59967
389,emboss,59956
390,perl-cgi,59925
391,perl-params-util,59516
392,perl-dbd-mysql,59463
393,perl-dist-checkconflicts,59380
394,megahit,59262
395,perl-digest-md5,59149
396,perl-moose,59030
397,perl-package-stash,58964
398,perl-io-socket-ssl,58927
